date,campaign,ad_group,keyword,match_type,intent_tier,is_high_intent,is_crm_verified,impressions,clicks,cost,gads_conversions,gads_conv_value
2025-04-03,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,16352,413,785.49,21.6,1556.75
2025-04-03,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,13231,309,623.41,20.0,1173.44
2025-04-03,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,8261,165,340.4,10.5,613.73
2025-04-03,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,7540,166,352.87,10.2,654.11
2025-04-03,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,7042,147,306.44,9.6,557.41
2025-04-03,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,3050,74,137.03,4.8,291.82
2025-04-03,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,5889,122,234.14,8.3,452.42
2025-04-03,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,10025,211,409.19,12.8,818.69
2025-04-03,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,6879,150,306.56,9.1,536.81
2025-04-03,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,14448,280,597.79,19.9,1148.46
2025-04-03,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,6004,114,242.67,7.6,439.36
2025-04-03,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,8460,184,388.86,12.9,671.13
2025-04-03,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,8343,160,345.41,10.0,634.57
2025-04-04,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,16695,361,827.6,21.9,1414.57
2025-04-04,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,13808,311,612.07,21.4,1154.52
2025-04-04,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,7140,161,318.38,10.5,607.48
2025-04-04,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,7255,148,319.53,9.9,701.97
2025-04-04,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,6310,128,289.59,8.1,528.94
2025-04-04,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,2908,64,136.16,4.9,260.74
2025-04-04,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,5493,117,240.52,7.1,471.99
2025-04-04,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,8788,191,441.07,13.0,789.36
2025-04-04,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,7034,146,294.13,8.9,574.48
2025-04-04,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,12155,261,626.3,16.4,1102.37
2025-04-04,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,4872,105,255.29,7.8,445.69
2025-04-04,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,8637,168,381.1,12.8,693.32
2025-04-04,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,7831,159,321.0,10.6,654.01
2025-04-05,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,20164,400,860.49,28.9,1376.92
2025-04-05,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,14144,306,654.62,18.8,1285.59
2025-04-05,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,8630,157,346.35,12.1,612.78
2025-04-05,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,8401,162,367.92,10.0,702.02
2025-04-05,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,6942,135,284.1,9.1,562.82
2025-04-05,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,3285,75,152.05,5.4,260.57
2025-04-05,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,5892,130,240.75,8.6,519.13
2025-04-05,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,9736,234,415.91,15.7,856.61
2025-04-05,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,7631,147,299.52,10.3,615.82
2025-04-05,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,14275,290,626.76,17.7,1065.58
2025-04-05,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,6129,115,235.2,8.6,492.49
2025-04-05,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,10126,207,419.48,12.2,710.74
2025-04-05,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,8704,172,374.2,12.0,641.47
2025-04-06,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,14339,362,680.88,26.1,1422.98
2025-04-06,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,13657,260,552.91,18.7,1137.31
2025-04-06,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,7069,143,347.43,9.7,610.15
2025-04-06,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,7469,147,340.33,11.3,555.72
2025-04-06,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,5723,138,283.36,8.2,561.84
2025-04-06,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,3142,61,131.97,4.4,291.47
2025-04-06,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,5032,113,244.12,6.7,472.8
2025-04-06,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,9705,191,428.7,14.9,767.24
2025-04-06,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,6454,119,260.01,8.3,549.55
2025-04-06,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,11894,239,585.12,17.4,1104.63
2025-04-06,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,4958,106,247.26,7.4,435.67
2025-04-06,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,8074,166,341.86,10.7,752.7
2025-04-06,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,6674,147,319.58,11.5,588.72
2025-04-07,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,16112,336,775.74,26.9,1478.57
2025-04-07,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,14060,304,611.02,19.5,1307.68
2025-04-07,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,7707,150,316.43,9.9,612.98
2025-04-07,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,6625,167,354.74,10.8,676.51
2025-04-07,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,6565,130,287.25,9.3,561.57
2025-04-07,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,2851,69,154.32,4.3,279.92
2025-04-07,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,5056,106,231.17,8.5,442.92
2025-04-07,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,9985,188,415.46,15.2,886.36
2025-04-07,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,6194,136,276.03,10.1,585.25
2025-04-07,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,13020,265,576.13,16.5,1127.99
2025-04-07,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,5359,109,239.01,7.3,466.89
2025-04-07,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,8524,189,407.3,11.7,693.92
2025-04-07,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,6691,148,344.87,11.8,713.77
2025-04-08,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,14575,336,626.97,19.2,1353.44
2025-04-08,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,13146,248,538.71,19.5,1164.86
2025-04-08,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,6618,139,295.39,8.6,620.5
2025-04-08,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,6263,140,262.24,8.5,528.21
2025-04-08,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,5262,130,234.9,7.5,463.62
2025-04-08,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,2962,62,124.4,3.9,267.45
2025-04-08,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,4805,98,211.36,6.6,383.53
2025-04-08,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,8641,168,377.03,11.6,786.66
2025-04-08,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,5351,115,228.12,8.8,522.28
2025-04-08,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,11288,254,485.04,15.6,1085.43
2025-04-08,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,4860,102,189.84,6.6,402.06
2025-04-08,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,7476,159,333.5,10.7,720.91
2025-04-08,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,6769,144,307.42,10.2,604.14
2025-04-09,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,14319,320,724.29,20.7,1332.04
2025-04-09,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,11497,268,578.93,19.7,1246.25
2025-04-09,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,6123,133,292.72,9.9,630.4
2025-04-09,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,6532,142,314.06,9.9,584.66
2025-04-09,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,6050,125,261.69,7.9,502.65
2025-04-09,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,3019,60,126.86,4.0,282.85
2025-04-09,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,4495,108,229.21,7.1,461.39
2025-04-09,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,8015,187,398.95,13.3,812.78
2025-04-09,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,5625,111,245.07,8.9,535.5
2025-04-09,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,10332,227,519.55,16.2,1049.46
2025-04-09,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,4491,105,230.7,7.9,448.37
2025-04-09,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,7152,159,336.2,12.7,644.55
2025-04-09,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,7044,144,300.94,10.3,626.94
2025-04-10,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,14469,333,697.54,19.8,1311.61
2025-04-10,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,13341,256,505.45,18.5,1020.07
2025-04-10,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,6014,144,298.77,9.1,600.1
2025-04-10,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,6006,134,301.02,9.7,561.77
2025-04-10,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,5600,125,227.58,7.9,509.3
2025-04-10,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,2929,62,132.56,4.1,258.68
2025-04-10,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,4629,100,211.22,6.2,396.4
2025-04-10,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,9033,183,352.55,13.1,731.78
2025-04-10,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,5566,123,256.28,9.0,485.68
2025-04-10,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,10933,241,497.69,17.7,1051.88
2025-04-10,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,4687,96,194.92,7.0,406.61
2025-04-10,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,7232,173,353.12,10.6,640.08
2025-04-10,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,6816,148,296.34,9.3,596.57
2025-04-11,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,15205,328,712.15,22.2,1429.25
2025-04-11,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,12799,284,578.97,19.1,1089.92
2025-04-11,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,7103,137,275.3,9.7,588.09
2025-04-11,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,7120,135,300.48,9.0,542.54
2025-04-11,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,5586,114,238.74,8.4,526.85
2025-04-11,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,2790,65,129.57,4.3,236.95
2025-04-11,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,4814,107,222.08,7.4,460.76
2025-04-11,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,9270,175,359.22,12.8,766.25
2025-04-11,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,6035,117,241.61,9.1,543.63
2025-04-11,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,10405,239,538.61,17.0,951.24
2025-04-11,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,4537,103,210.1,7.3,470.83
2025-04-11,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,7604,164,364.16,11.6,651.19
2025-04-11,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,7268,146,304.84,9.7,614.91
2025-04-12,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,15440,403,735.97,27.1,1557.76
2025-04-12,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,13086,321,677.29,23.4,1215.75
2025-04-12,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,6759,176,331.62,12.9,641.43
2025-04-12,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,6672,177,321.02,12.3,656.75
2025-04-12,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,6823,148,294.18,10.0,579.34
2025-04-12,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,2885,69,153.76,4.7,294.99
2025-04-12,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,5408,121,223.41,8.2,483.67
2025-04-12,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,9214,230,420.06,13.9,811.78
2025-04-12,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,6317,143,264.81,9.2,551.78
2025-04-12,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,11845,312,572.23,19.7,1291.41
2025-04-12,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,4828,124,249.35,7.5,520.38
2025-04-12,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,9236,187,410.48,13.2,748.35
2025-04-12,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,8136,172,353.67,11.0,741.06
2025-04-13,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,15939,373,708.53,22.7,1525.1
2025-04-13,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,12755,293,603.72,18.1,1278.47
2025-04-13,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,7659,158,320.74,10.0,630.79
2025-04-13,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,7305,161,297.73,10.2,709.61
2025-04-13,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,6484,140,280.95,8.3,575.62
2025-04-13,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,3190,65,147.21,4.4,270.07
2025-04-13,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,4992,115,243.55,8.4,499.07
2025-04-13,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,9250,211,410.03,12.6,806.71
2025-04-13,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,6142,130,262.15,9.0,604.47
2025-04-13,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,12428,271,567.78,17.5,1192.76
2025-04-13,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,5634,106,238.07,7.1,472.79
2025-04-13,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,8053,170,371.89,11.2,694.19
2025-04-13,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,7654,142,323.86,10.0,612.07
2025-04-14,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,13074,310,675.46,25.6,1331.85
2025-04-14,Best Serum for Dry Skin,Hydrating Serum,buy hydrating face serum online,Exact match,Tier 1 - High Intent,True,True,11907,268,522.45,20.9,1094.16
2025-04-14,Best Serum for Dry Skin,Natural Serum,natural skincare routine,Phrase match,Tier 2 - Mid Intent,True,False,6705,129,286.03,9.4,661.87
2025-04-14,Best Serum for Dry Skin,Broad Skincare,skincare,Broad match,Untiered - Broad,False,False,6498,134,290.67,10.8,603.47
2025-04-14,Brand Defense,Brand Core,pureglow skincare,Exact match,Tier 3 - Brand Defense,False,True,5322,121,238.02,7.8,531.34
2025-04-14,Brand Defense,Brand Bundle,pureglow spf bundle,Exact match,Tier 3 - Brand Defense,False,True,2892,61,125.39,4.4,236.73
2025-04-14,Brand Defense,Brand Product,pureglow vitamin c serum,Exact match,Tier 3 - Brand Defense,False,True,4647,97,197.72,6.8,449.81
2025-04-14,SPF Moisturizer Bundle,Daily SPF,buy spf moisturizer online,Exact match,Tier 1 - High Intent,True,True,7458,160,394.3,13.3,828.15
2025-04-14,SPF Moisturizer Bundle,Broad Moisturizer,moisturizer,Broad match,Untiered - Broad,False,False,5736,121,237.13,9.5,468.09
2025-04-14,SPF Moisturizer Bundle,SPF Bundle,spf moisturizer bundle,Exact match,Tier 1 - High Intent,True,True,11023,250,499.94,17.4,1130.56
2025-04-14,SPF Moisturizer Bundle,Vegan SPF,vegan spf moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,4671,100,199.37,8.2,469.43
2025-04-14,Skincare Routine Quiz,Routine Quiz,best skincare routine for dry skin,Phrase match,Tier 2 - Mid Intent,True,True,7794,157,311.54,11.3,670.77
2025-04-14,Skincare Routine Quiz,Plant Based,plant based moisturizer,Phrase match,Tier 2 - Mid Intent,True,True,5896,127,308.14,9.3,645.49
2025-04-15,Best Serum for Dry Skin,Vitamin C Serum,best vitamin c serum for dry skin,Exact match,Tier 1 - High Intent,True,True,15961,325,661.2,24.7,1324.73
